,index,fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp,ASN,country_code,is_anchor,system,long,lat,time_lagged
25,12157,5080,2.6.2,15,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.541489}, {'rtt': 13.521324}, {'rtt': 13.272312}, {'rtt': 13.416738}]",0,4,4,13.272312,13.541489,13.43796575,72481479,12794,1716778417,Ping,178.67.67.104,ping,72481479,1200,1716778468,12389.0,RU,False,system: V3,30.9915,59.8795,1716777226.0
26,12644,5080,2.6.2,22,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.668269}, {'rtt': 13.231233}, {'rtt': 13.306743}, {'rtt': 13.299733}]",0,4,4,13.231233,13.668269,13.3764945,72481479,12794,1716779619,Ping,178.67.67.104,ping,72481479,1200,1716779767,12389.0,RU,False,system: V3,30.9915,59.8795,1716778417.0
27,13127,5080,2.6.2,13,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.544583}, {'rtt': 13.450028}, {'rtt': 13.486508}, {'rtt': 13.234767}]",0,4,4,13.234767,13.544583,13.4289715,72481479,12794,1716780816,Ping,178.67.67.104,ping,72481479,1200,1716780926,12389.0,RU,False,system: V3,30.9915,59.8795,1716779619.0
28,13612,5080,2.6.2,23,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.513789}, {'rtt': 13.667289}, {'rtt': 13.177888}, {'rtt': 13.212102}]",0,4,4,13.177888,13.667289,13.392767,72481479,12794,1716782018,Ping,178.67.67.104,ping,72481479,1200,1716782084,12389.0,RU,False,system: V3,30.9915,59.8795,1716780816.0
29,14095,5080,2.6.2,90,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.675614}, {'rtt': 13.329648}, {'rtt': 13.286352}, {'rtt': 13.356613}]",0,4,4,13.286352,13.675614,13.41205675,72481479,12794,1716783220,Ping,178.67.67.104,ping,72481479,1200,1716783256,12389.0,RU,False,system: V3,30.9915,59.8795,1716782018.0
30,14581,5080,2.6.2,21,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.488574}, {'rtt': 13.299802}, {'rtt': 13.273487}, {'rtt': 13.265953}]",0,4,4,13.265953,13.488574,13.331954,72481479,12794,1716784416,Ping,178.67.67.104,ping,72481479,1200,1716784493,12389.0,RU,False,system: V3,30.9915,59.8795,1716783220.0
31,15067,5080,2.6.2,20,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.583228}, {'rtt': 13.516039}, {'rtt': 13.363283}, {'rtt': 13.445473}]",0,4,4,13.363283,13.583228,13.47700575,72481479,12794,1716785622,Ping,178.67.67.104,ping,72481479,1200,1716785669,12389.0,RU,False,system: V3,30.9915,59.8795,1716784416.0
32,15552,5080,2.6.2,14,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 15.227982}, {'rtt': 13.314189}, {'rtt': 13.404322}, {'rtt': 13.245637}]",0,4,4,13.245637,15.227982,13.7980325,72481479,12794,1716786816,Ping,178.67.67.104,ping,72481479,1200,1716786940,12389.0,RU,False,system: V3,30.9915,59.8795,1716785622.0
33,16038,5080,2.6.2,14,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.507905}, {'rtt': 13.348774}, {'rtt': 13.37837}, {'rtt': 13.471886}]",0,4,4,13.348774,13.507905,13.42673375,72481479,12794,1716788023,Ping,178.67.67.104,ping,72481479,1200,1716788076,12389.0,RU,False,system: V3,30.9915,59.8795,1716786816.0
34,16523,5080,2.6.2,26,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.863868}, {'rtt': 13.275199}, {'rtt': 13.596006}, {'rtt': 13.160768}]",0,4,4,13.160768,13.863868,13.47396025,72481479,12794,1716789223,Ping,178.67.67.104,ping,72481479,1200,1716789249,12389.0,RU,False,system: V3,30.9915,59.8795,1716788023.0
35,17011,5080,2.6.2,84,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.789441}, {'rtt': 13.48379}, {'rtt': 13.405334}, {'rtt': 13.525895}]",0,4,4,13.405334,13.789441,13.551115,72481479,12794,1716790421,Ping,178.67.67.104,ping,72481479,1200,1716790468,12389.0,RU,False,system: V3,30.9915,59.8795,1716789223.0
36,17496,5080,2.6.2,20,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.612501}, {'rtt': 13.509576}, {'rtt': 13.232185}, {'rtt': 13.598807}]",0,4,4,13.232185,13.612501,13.48826725,72481479,12794,1716791615,Ping,178.67.67.104,ping,72481479,1200,1716791678,12389.0,RU,False,system: V3,30.9915,59.8795,1716790421.0
37,17980,5080,2.6.2,17,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.612556}, {'rtt': 14.178358}, {'rtt': 13.533296}, {'rtt': 13.312418}]",0,4,4,13.312418,14.178358,13.659157,72481479,12794,1716792813,Ping,178.67.67.104,ping,72481479,1200,1716792874,12389.0,RU,False,system: V3,30.9915,59.8795,1716791615.0
38,18468,5080,2.6.2,76,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.787031}, {'rtt': 13.305995}, {'rtt': 13.302939}, {'rtt': 13.445125}]",0,4,4,13.302939,13.787031,13.4602725,72481479,12794,1716794017,Ping,178.67.67.104,ping,72481479,1200,1716794117,12389.0,RU,False,system: V3,30.9915,59.8795,1716792813.0
39,18952,5080,2.6.2,12,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.67776}, {'rtt': 13.546921}, {'rtt': 13.560766}, {'rtt': 13.509264}]",0,4,4,13.509264,13.67776,13.57367775,72481479,12794,1716795226,Ping,178.67.67.104,ping,72481479,1200,1716795291,12389.0,RU,False,system: V3,30.9915,59.8795,1716794017.0
40,19435,5080,2.6.2,23,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.770502}, {'rtt': 13.443366}, {'rtt': 13.911702}, {'rtt': 13.42378}]",0,4,4,13.42378,13.911702,13.6373375,72481479,12794,1716796420,Ping,178.67.67.104,ping,72481479,1200,1716796460,12389.0,RU,False,system: V3,30.9915,59.8795,1716795226.0
41,19921,5080,2.6.2,83,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.794097}, {'rtt': 13.489311}, {'rtt': 13.477869}, {'rtt': 13.474915}]",0,4,4,13.474915,13.794097,13.559048,72481479,12794,1716797627,Ping,178.67.67.104,ping,72481479,1200,1716797668,12389.0,RU,False,system: V3,30.9915,59.8795,1716796420.0
42,20407,5080,2.6.2,13,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.963538}, {'rtt': 13.47942}, {'rtt': 13.267238}, {'rtt': 13.491071}]",0,4,4,13.267238,13.963538,13.55031675,72481479,12794,1716798815,Ping,178.67.67.104,ping,72481479,1200,1716798879,12389.0,RU,False,system: V3,30.9915,59.8795,1716797627.0
43,20892,5080,2.6.2,7,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.903323}, {'rtt': 13.469735}, {'rtt': 13.379071}, {'rtt': 13.281889}]",0,4,4,13.281889,13.903323,13.5085045,72481479,12794,1716800016,Ping,178.67.67.104,ping,72481479,1200,1716800078,12389.0,RU,False,system: V3,30.9915,59.8795,1716798815.0
44,21377,5080,2.6.2,87,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.729415}, {'rtt': 13.653021}, {'rtt': 13.50571}, {'rtt': 13.454}]",0,4,4,13.454,13.729415,13.5855365,72481479,12794,1716801227,Ping,178.67.67.104,ping,72481479,1200,1716801312,12389.0,RU,False,system: V3,30.9915,59.8795,1716800016.0
45,21866,5080,2.6.2,7,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.565705}, {'rtt': 13.371314}, {'rtt': 13.460424}, {'rtt': 14.241068}]",0,4,4,13.371314,14.241068,13.65962775,72481479,12794,1716802414,Ping,178.67.67.104,ping,72481479,1200,1716802487,12389.0,RU,False,system: V3,30.9915,59.8795,1716801227.0
46,22351,5080,2.6.2,2,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.57719}, {'rtt': 13.45694}, {'rtt': 13.352769}, {'rtt': 13.527301}]",0,4,4,13.352769,13.57719,13.47855,72481479,12794,1716803615,Ping,178.67.67.104,ping,72481479,1200,1716803676,12389.0,RU,False,system: V3,30.9915,59.8795,1716802414.0
47,22836,5080,2.6.2,88,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.832537}, {'rtt': 13.494776}, {'rtt': 13.330856}, {'rtt': 13.397011}]",0,4,4,13.330856,13.832537,13.513795,72481479,12794,1716804814,Ping,178.67.67.104,ping,72481479,1200,1716804918,12389.0,RU,False,system: V3,30.9915,59.8795,1716803615.0
48,23323,5080,2.6.2,26,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.687461}, {'rtt': 13.37436}, {'rtt': 13.346909}, {'rtt': 13.338328}]",0,4,4,13.338328,13.687461,13.4367645,72481479,12794,1716806020,Ping,178.67.67.104,ping,72481479,1200,1716806104,12389.0,RU,False,system: V3,30.9915,59.8795,1716804814.0
49,23812,5080,2.6.2,20,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.915397}, {'rtt': 13.496509}, {'rtt': 13.207754}, {'rtt': 13.605767}]",0,4,4,13.207754,13.915397,13.55635675,72481479,12794,1716807220,Ping,178.67.67.104,ping,72481479,1200,1716807257,12389.0,RU,False,system: V3,30.9915,59.8795,1716806020.0
50,24295,5080,2.6.2,101,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.686597}, {'rtt': 13.652662}, {'rtt': 13.350245}, {'rtt': 13.35308}]",0,4,4,13.350245,13.686597,13.510646,72481479,12794,1716808427,Ping,178.67.67.104,ping,72481479,1200,1716808480,12389.0,RU,False,system: V3,30.9915,59.8795,1716807220.0
51,24783,5080,2.6.2,15,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.738077}, {'rtt': 13.633355}, {'rtt': 13.48432}, {'rtt': 13.282179}]",0,4,4,13.282179,13.738077,13.53448275,72481479,12794,1716809618,Ping,178.67.67.104,ping,72481479,1200,1716809678,12389.0,RU,False,system: V3,30.9915,59.8795,1716808427.0
52,25271,5080,2.6.2,14,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.734911}, {'rtt': 13.503586}, {'rtt': 13.720223}, {'rtt': 13.36727}]",0,4,4,13.36727,13.734911,13.5814975,72481479,12794,1716810826,Ping,178.67.67.104,ping,72481479,1200,1716810870,12389.0,RU,False,system: V3,30.9915,59.8795,1716809618.0
53,25759,5080,2.6.2,79,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 14.696491}, {'rtt': 13.562121}, {'rtt': 13.356825}, {'rtt': 16.845026}]",0,4,4,13.356825,16.845026,14.61511575,72481479,12794,1716812024,Ping,178.67.67.104,ping,72481479,1200,1716812094,12389.0,RU,False,system: V3,30.9915,59.8795,1716810826.0
54,26246,5080,2.6.2,3,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.524027}, {'rtt': 13.308719}, {'rtt': 13.660216}, {'rtt': 13.368806}]",0,4,4,13.308719,13.660216,13.465442,72481479,12794,1716813214,Ping,178.67.67.104,ping,72481479,1200,1716813290,12389.0,RU,False,system: V3,30.9915,59.8795,1716812024.0
55,26730,5080,2.6.2,18,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.512536}, {'rtt': 13.550866}, {'rtt': 13.684182}, {'rtt': 13.411931}]",0,4,4,13.411931,13.684182,13.53987875,72481479,12794,1716814421,Ping,178.67.67.104,ping,72481479,1200,1716814465,12389.0,RU,False,system: V3,30.9915,59.8795,1716813214.0
56,27220,5080,2.6.2,93,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.753142}, {'rtt': 13.419106}, {'rtt': 13.551071}, {'rtt': 13.553866}]",0,4,4,13.419106,13.753142,13.56929625,72481479,12794,1716815618,Ping,178.67.67.104,ping,72481479,1200,1716815648,12389.0,RU,False,system: V3,30.9915,59.8795,1716814421.0
57,27710,5080,2.6.2,10,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.793088}, {'rtt': 13.549026}, {'rtt': 13.412145}, {'rtt': 13.660961}]",0,4,4,13.412145,13.793088,13.603805,72481479,12794,1716816813,Ping,178.67.67.104,ping,72481479,1200,1716816896,12389.0,RU,False,system: V3,30.9915,59.8795,1716815618.0
58,28197,5080,2.6.2,12,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.713872}, {'rtt': 13.51626}, {'rtt': 13.44262}, {'rtt': 13.582367}]",0,4,4,13.44262,13.713872,13.56377975,72481479,12794,1716818022,Ping,178.67.67.104,ping,72481479,1200,1716818046,12389.0,RU,False,system: V3,30.9915,59.8795,1716816813.0
